
Info: (I703) tracing timescale unit set: 1 ns (Filter_traces.vcd)
      Time X             Y
     11 ns 1             0
     11 ns 1          0.25
     21 ns 0          0.25
     21 ns 0         0.375
     31 ns 0          0.75
     41 ns 0      -0.46875
     51 ns 0      0.046875
     61 ns 0       0.09375
     71 ns 0    -0.0585938
     81 ns 0    0.00585938
     91 ns 0     0.0117188
    101 ns 0   -0.00732422
    111 ns 0   0.000732422
    121 ns 0    0.00146484
    131 ns 0  -0.000915527
    141 ns 0   9.15527e-05
    151 ns 0   0.000183105
    161 ns 0  -0.000114441
    171 ns 0   1.14441e-05
    181 ns 0   2.28882e-05
    191 ns 0  -1.43051e-05
