
Info: (I703) tracing timescale unit set: 1 ns (Filter_traces.vcd)
      Time X Y
      1 ns 0 0
     11 ns 0 0
     21 ns 10.25
     31 ns 00.375
     41 ns 00.75
     51 ns 0-0.46875
     61 ns 00.046875
     71 ns 00.09375
     81 ns 0-0.0585938
     91 ns 00.00585938
    101 ns 00.0117188
    111 ns 0-0.00732422
    121 ns 00.000732422
    131 ns 00.00146484
    141 ns 0-0.000915527
    151 ns 09.15527e-05
    161 ns 00.000183105
    171 ns 0-0.000114441
    181 ns 01.14441e-05
    191 ns 02.28882e-05
